Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Women's Flyweight,Eduarda Moura,Veronica Hardy,fighter1,26,46,3,0,0,0,0,0
Welterweight,Carlos Prates,Neil Magny,fighter1,12,10,1,0,2,0,0,0
Middleweight,Reinier de Ridder,Gerald Meerschaert,fighter1,38,30,5,0,1,0,1,0
Bantamweight,Gaston Bolanos,Cortavious Romious,fighter1,53,17,2,4,0,0,0,0
Women's Strawweight,Gillian Robertson,Luana Pinheiro,fighter1,52,42,5,0,0,0,0,0
Middleweight,Mansur Abdul-Malik,Dusko Todorovic,fighter1,29,3,0,0,1,0,0,0
Women's Strawweight,Denise Gomes,Karolina Kowalkiewicz,fighter1,73,46,0,0,0,0,1,0
Welterweight,Elizeu Zaleski dos Santos,Zachary Scroggin,fighter1,11,3,0,0,0,0,0,0
Welterweight,Charles Radtke,Matthew Semelsberger,fighter1,7,2,0,0,0,0,0,0
Bantamweight,Da'Mon Blackshear,Cody Stamann,fighter1,20,13,0,0,0,0,3,0
Middleweight,Tresean Gore,Antonio Trocoli,fighter1,3,2,1,0,0,0,1,0
Women's Bantamweight,Melissa Mullins,Klaudia Sygula,fighter1,38,12,2,0,0,0,0,0
Flyweight,Brandon Moreno,Amir Albazi,fighter1,132,63,0,1,0,0,0,0
Women's Flyweight,Erin Blanchfield,Rose Namajunas,fighter1,110,94,2,1,0,0,0,0
Light Heavyweight,Brendson Ribeiro,Caio Machado,fighter1,49,76,0,0,0,0,0,0
Women's Flyweight,Jasmine Jasudavicius,Ariane da Silva,fighter1,36,42,3,0,0,0,1,0
Middleweight,Dustin Stoltzfus,Marc-Andre Barriault,fighter1,13,7,0,0,1,0,1,0
Welterweight,Mike Malott,Trevin Giles,fighter1,59,34,0,0,0,0,0,0
Bantamweight,Aiemann Zahabi,Pedro Munhoz,fighter1,109,95,0,0,0,0,0,0
Bantamweight,Charles Jourdain,Victor Henry,fighter1,39,24,0,4,0,0,1,0
Featherweight,Youssef Zalal,Jack Shore,fighter1,13,8,1,2,1,0,1,0
Heavyweight,Alexandr Romanov,Rodrigo Nascimento,fighter1,45,31,6,0,0,0,1,0
Bantamweight,Serhiy Sidey,Garrett Armfield,fighter1,68,71,0,4,0,0,3,1
Bantamweight,Cody Gibson,Chad Anheliger,fighter1,16,11,5,0,0,0,2,0
Women's Flyweight,Jamey-Lyn Horth,Ivana Petrovic,fighter1,29,25,2,2,0,0,0,0
Featherweight,Ilia Topuria,Max Holloway,fighter1,75,79,2,0,1,0,0,0
Middleweight,Khamzat Chimaev,Robert Whittaker,fighter1,3,2,2,0,0,0,1,0
Light Heavyweight,Magomed Ankalaev,Aleksandar Rakic,fighter1,55,53,0,0,0,0,0,0
Featherweight,Lerone Murphy,Dan Ige,fighter1,52,46,3,1,0,1,0,0
Middleweight,Shara Magomedov,Armen Petrosyan,fighter1,65,77,0,0,1,0,0,0
Light Heavyweight,Ibo Aslan,Rafael Cerqueira,fighter1,28,1,0,0,0,0,0,0
Welterweight,Geoff Neal,Rafael Dos Anjos,fighter1,18,4,1,0,1,0,0,0
Catch Weight,Mateusz Rebecki,Myktybek Orolbai,fighter1,71,61,3,2,1,0,0,0
Middleweight,Abus Magomedov,Brunno Ferreira,fighter1,26,29,4,0,0,0,1,1
Heavyweight,Kennedy Nzechukwu,Chris Barnett,fighter1,51,12,0,0,0,0,0,0
Featherweight,Farid Basharat,Victor Hugo,fighter1,60,45,4,1,0,0,0,1
Middleweight,Ismail Naurdiev,Bruno Silva,fighter1,66,36,3,0,0,0,0,0
Welterweight,Rinat Fakhretdinov,Carlos Leal,fighter1,109,107,2,1,0,0,0,0
Middleweight,Anthony Hernandez,Michel Pereira,fighter1,152,24,10,0,0,0,0,1
Bantamweight,Rob Font,Kyler Phillips,fighter1,61,38,0,4,0,0,0,0
Flyweight,Charles Johnson,Sumudaerji,fighter1,65,75,2,0,1,0,0,2
Bantamweight,Cameron Smotherman,Jake Hadley,fighter1,96,60,0,1,0,0,0,0
Featherweight,Darren Elkins,Daniel Pineda,fighter1,39,31,3,0,0,0,0,2
Flyweight,Asu Almabayev,Matheus Nicolau,fighter1,22,16,1,0,1,0,0,1
Bantamweight,Jean Matsumoto,Brad Katona,fighter1,89,89,1,3,0,0,0,0
Women's Bantamweight,Joselyne Edwards,Tamires Vidal,fighter1,81,34,4,0,0,0,2,0
