Weight class,fighter1,fighter2,outcome,F1_Str,F2_Str,F1_Td,F2_Td,F1_Kd,F2_Kd,F1_Sub,F2_Sub
Flyweight,Ray Borg,Louis Smolka,fighter1,21,10,4,0,0,0,1,1
Welterweight,Neil Magny,Johny Hendricks,fighter1,50,18,1,6,0,0,2,0
Middleweight,Antonio Carlos Junior,Marvin Vettori,fighter1,28,29,4,1,0,0,0,1
Welterweight,Alex Garcia,Mike Pyle,fighter1,14,5,1,0,1,0,0,0
Welterweight,Niko Price,Brandon Thatch,fighter1,6,8,1,0,0,0,2,2
Welterweight,Alex Oliveira,Tim Means,No contest,6,17,1,1,1,0,0,0
Women's Strawweight,Michelle Waterson-Gomez,Paige VanZant,fighter1,12,5,1,0,0,0,2,0
Welterweight,Mickey Gall,Sage Northcutt,fighter1,9,13,2,0,1,1,3,0
Bantamweight,Urijah Faber,Brad Pickett,fighter1,70,18,5,1,1,0,1,0
Welterweight,Alan Jouban,Mike Perry,fighter1,69,37,2,0,1,0,0,0
Light Heavyweight,Paul Craig,Henrique da Silva,fighter1,31,16,1,1,0,0,3,0
Featherweight,Mizuto Hirota,Cole Miller,fighter1,57,21,6,0,0,0,0,0
Welterweight,Colby Covington,Bryan Barberena,fighter1,76,41,12,0,0,0,0,0
Welterweight,Alex Morono,James Moontasri,fighter1,111,46,0,0,0,0,0,0
Lightweight,Josh Emmett,Scott Holtzman,fighter1,87,65,8,3,0,0,1,0
Women's Bantamweight,Leslie Smith,Irene Aldana,fighter1,169,108,0,1,1,0,0,0
Bantamweight,Eddie Wineland,Takeya Mizugaki,fighter1,9,13,0,0,2,0,0,0
Flyweight,Hector Sandoval,Fredy Serrano,fighter1,33,22,2,0,0,0,2,0
Welterweight,Sultan Aliev,Bojan Velickovic,fighter1,15,22,2,0,0,0,0,1
Featherweight,Max Holloway,Anthony Pettis,fighter1,94,53,2,0,1,0,0,0
Welterweight,Donald Cerrone,Matt Brown,fighter1,63,70,0,0,2,1,0,1
Featherweight,Cub Swanson,Dooho Choi,fighter1,111,77,2,1,0,0,0,0
Middleweight,Kelvin Gastelum,Tim Kennedy,fighter1,62,45,0,3,1,0,0,0
Welterweight,Emil Meek,Jordan Mein,fighter1,50,34,1,3,0,0,1,0
Light Heavyweight,Misha Cirkunov,Nikita Krylov,fighter1,8,16,2,1,0,0,1,0
Lightweight,Olivier Aubin-Mercier,Drew Dober,fighter1,27,24,0,0,0,1,1,0
Women's Strawweight,Viviane Pereira,Valerie Letourneau,fighter1,25,47,1,1,0,0,0,0
Bantamweight,Matthew Lopez,Mitch Gagnon,fighter1,30,31,5,1,0,1,1,0
Lightweight,Lando Vannata,John Makdessi,fighter1,10,11,0,0,1,0,0,0
Lightweight,Rustam Khabilov,Jason Saggo,fighter1,42,19,4,0,0,0,0,0
Flyweight,Dustin Ortiz,Zach Makovsky,fighter1,34,21,4,4,0,0,0,1
Heavyweight,Derrick Lewis,Shamil Abdurakhimov,fighter1,39,15,1,4,0,0,0,1
Heavyweight,Francis Ngannou,Anthony Hamilton,fighter1,1,0,0,1,0,0,1,0
Light Heavyweight,Corey Anderson,Sean O'Connell,fighter1,66,9,5,0,0,0,0,0
Light Heavyweight,Gian Villante,Saparbeg Safarov,fighter1,60,37,0,0,1,0,0,0
Women's Strawweight,Justine Kish,Ashley Yoder,fighter1,51,44,1,1,0,0,1,0
Welterweight,Randy Brown,Brian Camozzi,fighter1,42,11,1,0,1,0,0,1
Middleweight,Gerald Meerschaert,Joseph Gigliotti,fighter1,14,5,0,1,0,0,1,0
Middleweight,Andrew Sanchez,Trevor Smith,fighter1,74,61,0,0,0,0,0,0
Featherweight,Shane Burgos,Tiago dos Santos e Silva,fighter1,73,56,1,1,1,0,0,0
Lightweight,Marc Diakiese,Frankie Perez,fighter1,9,20,6,1,0,0,0,0
Middleweight,Ryan Janes,Keith Berish,fighter1,82,61,0,2,0,0,0,0
Women's Strawweight,Juliana Lima,JJ Aldrich,fighter1,56,31,4,0,0,0,0,0
Flyweight,Demetrious Johnson,Tim Elliott,fighter1,28,24,5,4,0,0,3,2
Flyweight,Joseph Benavidez,Henry Cejudo,fighter1,69,68,0,1,0,1,0,0
Welterweight,Jorge Masvidal,Jake Ellenberger,fighter1,44,11,0,0,0,0,0,0
Light Heavyweight,Jared Cannonier,Ion Cutelaba,fighter1,59,45,0,6,0,0,0,0
Women's Bantamweight,Sara McMann,Alexis Davis,fighter1,14,21,2,0,0,0,1,1
Flyweight,Brandon Moreno,Ryan Benoit,fighter1,54,23,5,0,0,1,0,0
Featherweight,Ryan Hall,Gray Maynard,fighter1,46,12,0,0,0,0,0,0
Bantamweight,Rob Font,Matt Schnell,fighter1,26,14,1,0,1,0,1,0
Lightweight,Dong Hyun Ma,Brendan O'Reilly,fighter1,21,25,4,0,0,0,0,1
Women's Strawweight,Jamie Moyle,Kailin Curran,fighter1,73,47,3,0,0,0,0,1
Middleweight,Anthony Smith,Elvis Mutapcic,fighter1,48,29,0,0,1,0,1,0
Light Heavyweight,Devin Clark,Josh Stansbury,fighter1,47,36,1,0,0,0,0,2
Middleweight,Robert Whittaker,Derek Brunson,fighter1,33,19,0,0,1,0,0,0
Lightweight,Andrew Holbrook,Jake Matthews,fighter1,30,22,2,3,0,0,3,0
Welterweight,Omari Akhmedov,Kyle Noke,fighter1,23,16,3,0,0,0,0,0
Lightweight,Alexander Volkanovski,Yusuke Kasuya,fighter1,50,4,3,1,0,0,0,0
Light Heavyweight,Tyson Pedro,Khalil Rountree Jr.,fighter1,4,3,2,0,0,1,1,0
Women's Strawweight,Danielle Taylor,Seo Hee Ham,fighter1,45,31,0,0,0,0,0,0
Middleweight,Daniel Kelly,Chris Camozzi,fighter1,39,56,4,0,0,0,0,0
Lightweight,Damien Brown,Jon Tuck,fighter1,34,39,0,0,0,1,1,0
Welterweight,Jonathan Meunier,Richard Walsh,fighter1,74,18,1,2,0,0,0,1
Flyweight,Ben Nguyen,Geane Herrera,fighter1,105,22,0,1,1,0,0,0
Featherweight,Jason Knight,Dan Hooker,fighter1,59,47,4,0,0,0,4,0
Featherweight,Marlon Vera,Guangyou Ning,fighter1,36,46,1,0,1,0,2,0
Flyweight,Jenel Lausa,Yao Zhikui,fighter1,56,29,1,1,2,0,1,0
Light Heavyweight,Ryan Bader,Rogerio Nogueira,fighter1,86,3,5,0,0,0,1,0
Bantamweight,Thomas Almeida,Albert Morales,fighter1,41,18,0,1,1,0,0,0
Women's Strawweight,Claudia Gadelha,Cortney Casey,fighter1,34,22,6,0,0,0,1,0
Middleweight,Krzysztof Jotko,Thales Leites,fighter1,42,4,1,1,0,0,0,1
Welterweight,Kamaru Usman,Warlley Alves,fighter1,71,25,1,0,0,0,1,1
Welterweight,Sergio Moraes,Zak Ottow,fighter1,35,44,1,0,0,0,0,0
Middleweight,Cezar Ferreira,Jack Hermansson,fighter1,10,14,1,0,0,0,1,0
Light Heavyweight,Gadzhimurad Antigulov,Marcos Rogerio de Lima,fighter1,0,2,1,0,0,0,1,0
Bantamweight,Johnny Eduardo,Manvel Gamburyan,fighter1,26,11,0,0,1,0,0,0
Heavyweight,Luis Henrique,Christian Colombo,fighter1,31,3,6,0,0,0,2,0
Bantamweight,Pedro Munhoz,Justin Scoggins,fighter1,28,44,0,1,0,0,1,0
Light Heavyweight,Francimar Barroso,Darren Stewart,No contest,0,7,0,1,0,0,0,0
Middleweight,Gegard Mousasi,Uriah Hall,fighter1,20,12,1,0,0,0,0,0
Lightweight,Stevie Ray,Ross Pearson,fighter1,49,38,1,0,0,0,0,0
Heavyweight,Alexander Volkov,Timothy Johnson,fighter1,45,43,1,1,0,1,0,0
Featherweight,Artem Lobov,Teruto Ishihara,fighter1,82,48,1,0,0,1,0,0
Middleweight,Jack Marshman,Magnus Cedenblad,fighter1,42,36,0,3,2,0,0,0
Flyweight,Kyoji Horiguchi,Ali Bagautinov,fighter1,55,36,4,2,0,0,0,0
Lightweight,Kevin Lee,Magomed Mustafaev,fighter1,20,20,7,0,0,0,2,1
Women's Strawweight,Amanda Cooper,Anna Elmose,fighter1,69,63,2,0,0,1,1,0
Heavyweight,Justin Ledet,Mark Godbeer,fighter1,3,5,1,0,0,0,1,0
Welterweight,Zak Cummings,Alexander Yakovlev,fighter1,24,18,0,1,0,0,1,0
Women's Bantamweight,Marion Reneau,Milana Dudieva,fighter1,48,17,1,2,0,0,1,0
Bantamweight,Brett Johns,Kwan Ho Kwak,fighter1,49,53,11,0,0,0,0,0
Welterweight,Abdul Razak Alhassan,Charlie Ward,fighter1,12,2,0,0,3,0,0,0
Lightweight,Conor McGregor,Eddie Alvarez,fighter1,32,9,0,0,3,0,0,0
Welterweight,Tyron Woodley,Stephen Thompson,Draw,61,43,1,0,1,0,2,0
Women's Strawweight,Joanna Jedrzejczyk,Karolina Kowalkiewicz,fighter1,171,50,1,0,0,0,0,0
Middleweight,Yoel Romero,Chris Weidman,fighter1,18,12,2,1,1,0,0,0
Women's Bantamweight,Raquel Pennington,Miesha Tate,fighter1,43,21,1,1,0,0,3,0
Featherweight,Frankie Edgar,Jeremy Stephens,fighter1,40,33,5,0,0,1,2,1
Lightweight,Khabib Nurmagomedov,Michael Johnson,fighter1,94,19,2,0,0,0,1,1
Middleweight,Tim Boetsch,Rafael Natal,fighter1,14,5,0,0,1,0,0,0
Welterweight,Vicente Luque,Belal Muhammad,fighter1,9,3,0,0,1,0,0,0
Catch Weight,Jim Miller,Thiago Alves,fighter1,28,36,4,0,0,0,1,0
Women's Bantamweight,Liz Carmouche,Katlyn Cerminara,fighter1,27,22,4,0,0,1,0,0
Lightweight,Tony Ferguson,Rafael Dos Anjos,fighter1,199,121,0,0,0,0,0,0
Lightweight,Diego Sanchez,Marcin Held,fighter1,46,30,0,0,0,0,0,1
Featherweight,Ricardo Lamas,Charles Oliveira,fighter1,11,13,1,2,0,0,1,2
Lightweight,Martin Bravo,Claudio Puelles,fighter1,56,29,0,1,1,0,0,0
Lightweight,Beneil Dariush,Rashid Magomedov,fighter1,60,41,0,1,0,0,0,0
Women's Strawweight,Alexa Grasso,Heather Clark,fighter1,65,40,1,0,0,0,0,0
Bantamweight,Erik Perez,Felipe Arantes,fighter1,36,34,3,0,0,0,0,2
Catch Weight,Joe Soto,Marco Beltran,fighter1,2,3,1,0,0,0,1,0
Welterweight,Max Griffin,Erick Montano,fighter1,15,3,0,0,0,0,0,0
Bantamweight,Douglas Silva de Andrade,Henry Briones,fighter1,72,67,1,0,1,0,0,0
Middleweight,Sam Alvey,Alex Nicholson,fighter1,63,82,0,0,0,0,0,0
Lightweight,Marco Polo Reyes,Jason Novelli,fighter1,50,29,0,1,0,0,0,0
Featherweight,Enrique Barzola,Chris Avila,fighter1,72,29,7,0,0,0,0,0
Middleweight,Michael Bisping,Dan Henderson,fighter1,119,81,0,1,0,2,0,0
Middleweight,Gegard Mousasi,Vitor Belfort,fighter1,57,8,1,0,0,0,0,0
Light Heavyweight,Jimi Manuwa,Ovince Saint Preux,fighter1,32,13,0,2,1,0,1,0
Heavyweight,Stefan Struve,Daniel Omielanczuk,fighter1,9,14,2,0,0,0,1,0
Featherweight,Mirsad Bektic,Russell Doane,fighter1,4,6,4,0,0,0,2,0
Bantamweight,Iuri Alcantara,Brad Pickett,fighter1,26,1,0,0,1,0,2,0
Bantamweight,Damian Stasiak,Davey Grant,fighter1,10,36,4,2,0,0,1,0
Welterweight,Leon Edwards,Albert Tumenov,fighter1,16,32,3,0,0,0,1,0
Lightweight,Marc Diakiese,Lukasz Sajewski,fighter1,48,21,1,2,0,0,0,0
Welterweight,Mike Perry,Danny Roberts,fighter1,90,81,0,0,1,0,0,0
Lightweight,Leonardo Santos,Adriano Martins,fighter1,23,34,0,0,0,0,0,0
Bantamweight,John Lineker,John Dodson,fighter1,93,101,0,0,0,0,0,0
Lightweight,Alex Oliveira,Will Brooks,fighter1,48,16,4,4,0,0,1,0
Welterweight,Zak Ottow,Joshua Burkman,fighter1,65,47,0,1,0,0,1,0
Flyweight,Brandon Moreno,Louis Smolka,fighter1,8,7,1,1,0,0,2,0
Light Heavyweight,Henrique da Silva,Joachim Christensen,fighter1,44,50,0,0,0,1,1,0
Featherweight,Andre Fili,Hacran Dias,fighter1,45,25,1,4,1,0,0,1
Heavyweight,Shamil Abdurakhimov,Walt Harris,fighter1,47,33,1,0,0,0,0,1
Welterweight,Elizeu Zaleski dos Santos,Keita Nakamura,fighter1,34,24,1,5,0,0,2,0
Middleweight,Nate Marquardt,Tamdan McCrory,fighter1,24,16,2,0,1,0,0,0
Light Heavyweight,Ion Cutelaba,Jonathan Wilson,fighter1,89,30,0,0,0,0,0,0
Heavyweight,Curtis Blaydes,Cody East,fighter1,52,21,5,3,0,0,0,0
Women's Bantamweight,Ketlen Vieira,Kelly Faszholz,fighter1,13,44,4,0,0,0,0,0
Catch Weight,Cristiane Justino,Lina Lansberg,fighter1,84,14,2,0,0,0,0,0
Featherweight,Renan Barao,Phillipe Nover,fighter1,64,39,3,0,0,0,0,0
Heavyweight,Roy Nelson,Antonio Silva,fighter1,36,27,0,0,1,0,0,0
Lightweight,Francisco Trinaldo,Paul Felder,fighter1,32,33,1,0,0,0,0,0
Middleweight,Eric Spicely,Thiago Santos,fighter1,5,2,1,0,0,0,1,0
Featherweight,Godofredo Pepey,Mike de la Torre,fighter1,24,6,1,0,0,0,2,0
Lightweight,Michel Prazeres,Gilbert Burns,fighter1,67,46,5,1,0,0,0,0
Bantamweight,Rani Yahya,Michinori Tanaka,fighter1,10,20,7,1,0,0,1,0
Flyweight,Jussier Formiga,Dustin Ortiz,fighter1,8,13,1,0,0,0,2,0
Welterweight,Erick Silva,Luan Chagas,fighter1,55,41,0,1,1,2,2,0
Lightweight,Alan Patrick,Stevie Ray,fighter1,7,2,5,0,0,0,1,1
Welterweight,Vicente Luque,Hector Urbina,fighter1,11,5,0,0,1,0,0,0
Lightweight,Gregor Gillespie,Glaico Franca Moreira,fighter1,41,43,5,0,0,0,0,0
Lightweight,Michael Johnson,Dustin Poirier,fighter1,14,6,0,0,1,0,0,0
Middleweight,Derek Brunson,Uriah Hall,fighter1,4,1,0,0,1,0,0,0
Lightweight,Evan Dunham,Ricky Glenn,fighter1,144,58,3,0,0,0,2,0
Welterweight,Roan Carneiro,Kenny Robertson,fighter1,33,28,2,0,0,0,0,0
Lightweight,Islam Makhachev,Chris Wade,fighter1,12,5,4,0,0,0,2,2
Featherweight,Chas Skelly,Maximo Blanco,fighter1,1,0,0,0,0,0,1,0
Featherweight,Gabriel Benitez,Sam Sicilia,fighter1,39,19,0,0,1,0,1,0
Welterweight,Belal Muhammad,Augusto Montano,fighter1,66,67,3,0,0,0,0,0
Middleweight,Antonio Carlos Junior,Leonardo Guimaraes,fighter1,32,6,7,0,0,0,1,2
Bantamweight,Jose Quinonez,Joey Gomez,fighter1,56,44,5,0,2,1,0,0
Welterweight,Randy Brown,Erick Montano,fighter1,12,21,1,2,0,0,1,0
Bantamweight,Alejandro Perez,Albert Morales,Draw,61,79,1,0,0,0,0,0
Heavyweight,Stipe Miocic,Alistair Overeem,fighter1,34,9,1,0,0,1,0,1
Heavyweight,Fabricio Werdum,Travis Browne,fighter1,84,37,0,0,1,0,1,0
Welterweight,Mickey Gall,CM Punk,fighter1,20,0,1,0,0,0,2,0
Bantamweight,Jimmie Rivera,Urijah Faber,fighter1,54,22,0,0,0,0,0,0
Women's Strawweight,Jessica Andrade,Joanne Wood,fighter1,20,13,2,0,0,0,1,0
Women's Bantamweight,Bethe Correia,Jessica Eye,fighter1,49,52,0,0,0,0,0,0
Middleweight,Brad Tavares,Caio Magalhaes,fighter1,46,26,0,1,0,0,0,1
Lightweight,Nik Lentz,Michael McBride,fighter1,38,16,5,0,0,0,1,0
Lightweight,Drew Dober,Jason Gonzalez,fighter1,20,10,0,0,1,0,0,0
Welterweight,Yancy Medeiros,Sean Spencer,fighter1,17,17,0,0,2,0,1,0
Heavyweight,Josh Barnett,Andrei Arlovski,fighter1,53,38,1,1,0,0,1,0
Light Heavyweight,Alexander Gustafsson,Jan Blachowicz,fighter1,50,28,4,0,0,0,0,0
Light Heavyweight,Ryan Bader,Ilir Latifi,fighter1,13,9,0,0,1,1,0,0
Lightweight,Nick Hein,Tae Hyun Bang,fighter1,20,40,2,0,0,0,0,0
Welterweight,Jessin Ayari,Jim Wallhead,fighter1,70,47,0,0,0,1,0,0
Welterweight,Peter Sobotta,Nicolas Dalby,fighter1,38,14,3,0,1,0,1,0
Women's Bantamweight,Ashlee Evans-Smith,Veronica Hardy,fighter1,73,23,2,0,0,0,0,0
Bantamweight,Taylor Lapilus,Leandro Issa,fighter1,63,19,0,3,0,0,0,0
Heavyweight,Jarjis Danho,Christian Colombo,Draw,52,76,1,0,0,0,0,0
Middleweight,Jack Hermansson,Scott Askham,fighter1,88,37,1,0,0,0,0,2
Lightweight,Rustam Khabilov,Leandro Silva,fighter1,24,29,2,0,0,0,0,0
Welterweight,Demian Maia,Carlos Condit,fighter1,1,1,1,0,0,0,1,0
Featherweight,Anthony Pettis,Charles Oliveira,fighter1,53,41,0,4,0,0,1,0
Women's Strawweight,Paige VanZant,Bec Rawlings,fighter1,25,21,0,0,1,0,0,0
Lightweight,Jim Miller,Joe Lauzon,fighter1,80,54,0,3,0,0,0,1
Middleweight,Sam Alvey,Kevin Casey,fighter1,59,25,0,0,2,0,0,0
Featherweight,Kyle Bochniak,Enrique Barzola,fighter1,41,55,1,1,0,0,0,0
Middleweight,Alessio Di Chirico,Garreth McLellan,fighter1,61,57,2,2,1,0,0,0
Lightweight,Felipe Silva,Shane Campbell,fighter1,11,9,0,0,1,0,0,0
Lightweight,Chad Laprise,Thibault Gouti,fighter1,17,4,0,0,2,0,0,0
Lightweight,Jeremy Kennedy,Alex Ricci,fighter1,27,28,5,0,0,0,0,0
Welterweight,Conor McGregor,Nate Diaz,fighter1,164,166,0,1,3,0,0,0
Light Heavyweight,Anthony Johnson,Glover Teixeira,fighter1,4,1,0,0,1,0,0,0
Welterweight,Donald Cerrone,Rick Story,fighter1,45,17,1,1,1,0,1,0
Welterweight,Mike Perry,Hyun Gyu Lim,fighter1,31,8,0,0,3,0,0,0
Welterweight,Tim Means,Sabah Homasi,fighter1,71,33,0,2,0,0,0,0
Bantamweight,Cody Garbrandt,Takeya Mizugaki,fighter1,12,4,0,0,1,0,0,0
Women's Bantamweight,Raquel Pennington,Elizabeth Phillips,fighter1,33,15,3,1,0,0,1,0
Featherweight,Artem Lobov,Chris Avila,fighter1,53,42,0,0,0,0,0,0
Women's Strawweight,Cortney Casey,Randa Markos,fighter1,21,4,0,1,0,0,1,0
Welterweight,Lorenz Larkin,Neil Magny,fighter1,32,8,0,0,1,0,0,0
Welterweight,Colby Covington,Max Griffin,fighter1,26,13,6,0,0,0,0,1
Middleweight,Marvin Vettori,Alberto Uda,fighter1,10,4,1,1,0,0,1,0
Featherweight,Yair Rodriguez,Alex Caceres,fighter1,120,62,1,1,0,0,0,0
Featherweight,Dennis Bermudez,Rony Jason,fighter1,48,9,5,0,0,0,0,0
Middleweight,Thales Leites,Chris Camozzi,fighter1,36,8,5,0,0,0,1,0
Welterweight,Santiago Ponzinibbio,Zak Cummings,fighter1,58,35,0,1,0,0,0,0
Middleweight,Trevor Smith,Joseph Gigliotti,fighter1,42,15,4,1,1,0,2,1
Women's Strawweight,Maryna Moroz,Danielle Taylor,fighter1,17,17,0,1,0,0,0,0
Welterweight,Court McGee,Dominique Steele,fighter1,15,23,4,0,0,0,1,0
Heavyweight,Marcin Tybura,Viktor Pesta,fighter1,15,3,0,0,1,0,0,0
Lightweight,David Teymur,Jason Novelli,fighter1,26,8,0,0,1,0,0,0
Featherweight,Teruto Ishihara,Horacio Gutierrez,fighter1,13,5,0,0,1,0,0,0
Featherweight,Cub Swanson,Tatsuya Kawajiri,fighter1,67,23,1,3,0,0,1,0
Heavyweight,Justin Ledet,Chase Sherman,fighter1,113,59,0,0,0,0,0,0
Welterweight,Tyron Woodley,Robbie Lawler,fighter1,8,3,0,0,1,0,0,0
Women's Strawweight,Karolina Kowalkiewicz,Rose Namajunas,fighter1,84,70,0,2,0,0,0,0
Welterweight,Jake Ellenberger,Matt Brown,fighter1,21,7,0,0,2,0,0,0
Bantamweight,Erik Perez,Francisco Rivera,fighter1,54,55,2,0,0,0,0,0
Flyweight,Ryan Benoit,Fredy Serrano,fighter1,31,22,0,5,1,0,0,0
Light Heavyweight,Nikita Krylov,Ed Herman,fighter1,60,26,0,1,1,0,0,0
Welterweight,Jorge Masvidal,Ross Pearson,fighter1,113,52,1,2,1,0,0,0
Heavyweight,Anthony Hamilton,Damian Grabowski,fighter1,9,1,0,0,1,0,0,0
Flyweight,Wilson Reis,Hector Sandoval,fighter1,4,5,3,0,0,0,1,0
Welterweight,Michael Graves,Bojan Velickovic,Draw,9,17,3,1,0,0,0,0
Lightweight,Damien Brown,Cesar Arzamendia,fighter1,22,17,0,0,2,0,0,1
Women's Bantamweight,Valentina Shevchenko,Holly Holm,fighter1,87,54,3,0,0,0,0,0
Lightweight,Edson Barboza,Gilbert Melendez,fighter1,56,39,1,0,0,0,0,0
Heavyweight,Francis Ngannou,Bojan Mihajlovic,fighter1,8,3,0,0,0,0,0,0
Women's Strawweight,Felice Herrig,Kailin Curran,fighter1,13,5,1,0,0,0,1,0
Bantamweight,Eddie Wineland,Frankie Saenz,fighter1,42,45,0,1,1,0,0,0
Featherweight,Darren Elkins,Godofredo Pepey,fighter1,33,20,5,0,0,0,0,2
Welterweight,Kamaru Usman,Alexander Yakovlev,fighter1,41,8,5,0,0,0,0,0
Lightweight,Michel Prazeres,JC Cottrell,fighter1,48,14,7,0,0,0,1,0
Welterweight,Alex Oliveira,James Moontasri,fighter1,58,12,2,0,0,0,0,0
Featherweight,Jason Knight,Jim Alers,fighter1,76,41,1,4,0,0,0,0
Heavyweight,Luis Henrique,Dmitrii Smoliakov,fighter1,20,14,1,0,0,0,1,0
Bantamweight,John Lineker,Michael McDonald,fighter1,26,14,0,0,2,0,0,0
Lightweight,Tony Ferguson,Lando Vannata,fighter1,66,40,0,0,0,1,3,0
Middleweight,Tim Boetsch,Josh Samman,fighter1,38,17,2,0,0,0,0,0
Heavyweight,Daniel Omielanczuk,Aleksei Oleinik,fighter1,26,8,1,4,0,0,0,2
Welterweight,Keita Nakamura,Kyle Noke,fighter1,41,44,0,2,1,0,1,0
Flyweight,Louis Smolka,Ben Nguyen,fighter1,82,4,3,0,0,0,7,1
Women's Bantamweight,Katlyn Cerminara,Lauren Murphy,fighter1,45,38,0,1,0,0,0,0
Middleweight,Sam Alvey,Eric Spicely,fighter1,8,7,0,0,0,0,1,0
Women's Strawweight,Cortney Casey,Cristina Stanciu,fighter1,19,5,2,0,0,0,0,0
Lightweight,Scott Holtzman,Cody Pfister,fighter1,53,28,3,1,1,0,1,0
Bantamweight,Rani Yahya,Matthew Lopez,fighter1,40,14,3,1,0,0,1,2
Middleweight,Alex Nicholson,Devin Clark,fighter1,18,14,0,1,1,1,0,1
Women's Bantamweight,Amanda Nunes,Miesha Tate,fighter1,40,3,0,0,0,0,1,0
Heavyweight,Brock Lesnar,Mark Hunt,No contest,51,13,4,0,0,0,0,0
Light Heavyweight,Daniel Cormier,Anderson Silva,fighter1,33,17,3,0,0,0,0,0
Featherweight,Jose Aldo,Frankie Edgar,fighter1,80,79,0,0,0,0,0,0
Heavyweight,Cain Velasquez,Travis Browne,fighter1,50,6,1,0,1,0,0,0
Women's Bantamweight,Julianna Pena,Cat Zingano,fighter1,12,11,2,3,0,0,1,0
Welterweight,Kelvin Gastelum,Johny Hendricks,fighter1,124,70,0,1,0,0,0,0
Bantamweight,TJ Dillashaw,Raphael Assuncao,fighter1,64,49,1,0,0,0,0,0
Lightweight,Sage Northcutt,Enrique Marin,fighter1,41,16,0,4,0,0,1,2
Lightweight,Joe Lauzon,Diego Sanchez,fighter1,22,6,0,0,1,0,0,0
Middleweight,Gegard Mousasi,Thiago Santos,fighter1,21,5,2,0,1,0,0,0
Lightweight,Jim Miller,Takanori Gomi,fighter1,8,1,1,0,0,0,0,0
Women's Strawweight,Joanna Jedrzejczyk,Claudia Gadelha,fighter1,176,63,1,4,0,1,0,0
Light Heavyweight,Andrew Sanchez,Khalil Rountree Jr.,fighter1,31,14,6,0,0,0,0,0
Women's Strawweight,Tatiana Suarez,Amanda Cooper,fighter1,16,1,3,0,0,0,1,2
Lightweight,Will Brooks,Ross Pearson,fighter1,80,54,1,0,0,0,0,0
Featherweight,Dooho Choi,Thiago Tavares,fighter1,4,2,0,2,1,0,0,0
Lightweight,Joaquim Silva,Andrew Holbrook,fighter1,6,2,0,0,1,0,0,0
Featherweight,Gray Maynard,Fernando Bruno,fighter1,30,32,3,2,0,0,1,1
Flyweight,Matheus Nicolau,John Moraga,fighter1,41,31,0,0,0,0,0,0
Light Heavyweight,Josh Stansbury,Cory Hendricks,fighter1,61,47,0,0,0,0,0,0
Middleweight,Cezar Ferreira,Anthony Smith,fighter1,30,33,6,0,0,0,0,1
Lightweight,Kevin Lee,Jake Matthews,fighter1,24,5,1,0,0,0,0,0
Welterweight,Li Jingliang,Anton Zafir,fighter1,6,5,1,2,0,0,0,0
Lightweight,Eddie Alvarez,Rafael Dos Anjos,fighter1,45,12,1,0,0,0,0,0
Heavyweight,Derrick Lewis,Roy Nelson,fighter1,37,4,0,7,0,0,0,0
Welterweight,Alan Jouban,Belal Muhammad,fighter1,86,77,0,2,3,0,0,0
Lightweight,Joe Duffy,Mitch Clarke,fighter1,3,1,0,0,1,0,1,0
Welterweight,Alberto Mina,Mike Pyle,fighter1,16,2,2,0,1,0,0,1
Lightweight,John Makdessi,Mehdi Baghdad,fighter1,84,60,0,0,0,1,0,0
Bantamweight,Anthony Birchak,Dileno Lopes,fighter1,41,25,0,2,0,0,0,0
Bantamweight,Pedro Munhoz,Russell Doane,fighter1,14,18,1,0,0,0,1,0
Bantamweight,Felipe Arantes,Jerrod Sanders,fighter1,3,6,0,1,0,0,1,0
Lightweight,Gilbert Burns,Lukasz Sajewski,fighter1,13,14,1,0,0,0,1,0
Bantamweight,Marco Beltran,Reginaldo Vieira,fighter1,20,20,0,3,1,0,1,0
Welterweight,Vicente Luque,Alvaro Herrera Mendoza,fighter1,25,12,4,0,0,0,1,0
Welterweight,Stephen Thompson,Rory MacDonald,fighter1,110,61,0,0,0,0,0,0
Welterweight,Donald Cerrone,Patrick Cote,fighter1,73,46,2,0,3,0,1,0
Light Heavyweight,Steve Bosse,Sean O'Connell,fighter1,93,84,1,0,0,1,0,0
Lightweight,Olivier Aubin-Mercier,Thibault Gouti,fighter1,44,29,3,0,0,0,1,0
Women's Flyweight,Joanne Wood,Valerie Letourneau,fighter1,115,80,3,0,2,0,0,0
Lightweight,Jason Saggo,Leandro Silva,fighter1,48,47,1,2,0,0,0,0
Light Heavyweight,Misha Cirkunov,Ion Cutelaba,fighter1,44,24,1,0,0,0,1,0
Middleweight,Krzysztof Jotko,Tamdan McCrory,fighter1,4,2,0,0,1,0,0,0
Bantamweight,Joe Soto,Chris Beal,fighter1,47,76,1,0,0,0,2,0
Middleweight,Elias Theodorou,Sam Alvey,fighter1,37,24,0,0,0,0,0,0
Women's Strawweight,Randa Markos,Jocelyn Jones-Lybarger,fighter1,86,79,1,1,0,0,1,0
Welterweight,Colby Covington,Jonathan Meunier,fighter1,19,16,5,0,1,0,1,0
Flyweight,Ali Bagautinov,Geane Herrera,fighter1,90,13,5,1,0,0,0,2
Middleweight,Michael Bisping,Luke Rockhold,fighter1,21,17,0,0,2,0,0,0
Bantamweight,Dominick Cruz,Urijah Faber,fighter1,87,34,3,1,1,0,0,0
